Indicator,Country,Year,Value
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2011,4.39459
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2012,7.17243
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2013,5.05633
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2014,4.52779
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2015,4.71917
"Rate of out-of-school children of primary school age, male (%)",Mauritius,2016,6.02605
"Rate of out-of-school children of primary school age, male (%)",Madagascar,2000,33.94154
"Rate of out-of-school children of primary school age, male (%)",Madagascar,2001,32.71319
"Rate of out-of-school children of primary school age, male (%)",Madagascar,2002,31.9514
"Rate of out-of-school children of primary school age, male (%)",Madagascar,2003,22.03671
"Rate of out-of-school children of primary school age, male (%)",Central African Republic,2005,44.58234
"Rate of out-of-school children of primary school age, male (%)",Central African Republic,2006,43.84724
"Rate of out-of-school children of primary school age, male (%)",Central African Republic,2007,34.33803
"Rate of out-of-school children of primary school age, male (%)",Central African Republic,2008,25.03443
"Rate of out-of-school children of primary school age, male (%)",Central African Republic,2009,24.574
"Rate of out-of-school children of primary school age, male (%)",Central African Republic,2010,22.40712
"Rate of out-of-school children of primary school age, male (%)",Central African Republic,2011,25.19547
"Rate of out-of-school children of primary school age, male (%)",Central African Republic,2012,23.35834
"Rate of out-of-school children of primary school age, male (%)",South Africa,2000,8.60072
"Rate of out-of-school children of primary school age, male (%)",South Africa,2001,8.94868
"Rate of out-of-school children of primary school age, male (%)",South Africa,2002,9.02742
"Rate of out-of-school children of primary school age, male (%)",South Africa,2003,8.55754
"Rate of out-of-school children of primary school age, male (%)",South Africa,2004,8.52759
"Rate of out-of-school children of primary school age, male (%)",South Africa,2005,9.87139
"Rate of out-of-school children of primary school age, male (%)",South Africa,2015,8.69183
"Rate of out-of-school children of primary school age, male (%)",Guinea-Bissau,2000,44.16828
"Rate of out-of-school children of primary school age, male (%)",Guinea-Bissau,2010,26.31418
"Rate of out-of-school children of primary school age, male (%)",Comoros,2000,27.31562
"Rate of out-of-school children of primary school age, male (%)",Comoros,2007,18.00098
"Rate of out-of-school children of primary school age, male (%)",Comoros,2013,11.02024
"Rate of out-of-school children of primary school age, male (%)",Comoros,2014,15.89678
"Rate of out-of-school children of primary school age, male (%)",Angola,2008,19.44711
"Rate of out-of-school children of primary school age, male (%)",Angola,2009,19.85752
"Rate of out-of-school children of primary school age, male (%)",Angola,2010,16.95135
"Rate of out-of-school children of primary school age, male (%)",Angola,2011,11.21489
"Rate of out-of-school children of primary school age, male (%)",Nauru,2012,24.37223
"Rate of out-of-school children of primary school age, male (%)",Nauru,2014,10.5474
"Rate of out-of-school children of primary school age, male (%)",Nauru,2016,16.79909
"Rate of out-of-school children of primary school age, male (%)",South Sudan,2011,52.307
"Rate of out-of-school children of primary school age, male (%)",South Sudan,2015,63.55094
"Rate of out-of-school children of primary school age, male (%)",Sudan,2011,37.70538
"Rate of out-of-school children of primary school age, male (%)",Sudan,2012,44.90773
"Rate of out-of-school children of primary school age, male (%)",Sudan,2013,45.29805
"Rate of out-of-school children of primary school age, male (%)",Sudan,2014,45.81551
"Rate of out-of-school children of primary school age, male (%)",Sudan,2015,44.86629
"Rate of out-of-school children of primary school age, male (%)",Sudan,2016,43.32961
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2000,58.40269
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2001,55.73912
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2002,49.3623
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2003,43.8671
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2004,40.67062
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2005,39.1347
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2006,40.4382
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2007,46.20837
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2008,49.82674
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2009,53.64696
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2010,56.11312
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2011,53.20937
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2012,50.74563
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2013,53.44563
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2014,53.42593
"Rate of out-of-school children of primary school age, male (%)",Eritrea,2015,55.35088
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2000,16.70684
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2001,16.58588
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2002,16.49668
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2003,16.50036
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2004,19.27971
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2005,20.16824
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2006,20.00969
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2007,22.95971
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2008,21.68183
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2009,20.87223
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2010,19.32194
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2011,18.2918
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2012,16.94235
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2013,18.76511
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2014,18.33419
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2015,18.491
"Rate of out-of-school children of primary school age, female (%)",Lesotho,2016,18.1573
"Rate of out-of-school children of primary school age, female (%)",Madagascar,2000,33.27616
"Rate of out-of-school children of primary school age, female (%)",Madagascar,2001,31.97687
"Rate of out-of-school children of primary school age, female (%)",Madagascar,2002,31.21316
"Rate of out-of-school children of primary school age, female (%)",Madagascar,2003,21.78714
"Rate of out-of-school children of primary school age, female (%)",Swaziland,2009,25.63491
"Rate of out-of-school children of primary school age, female (%)",Swaziland,2010,20.81551
"Rate of out-of-school children of primary school age, female (%)",Swaziland,2011,21.91726
"Rate of out-of-school children of primary school age, female (%)",Swaziland,2012,21.71546
"Rate of out-of-school children of primary school age, female (%)",Swaziland,2013,24.22551
"Rate of out-of-school children of primary school age, female (%)",Swaziland,2014,23.20513
"Rate of out-of-school children of primary school age, female (%)",Swaziland,2015,24.08937
"Rate of out-of-school children of primary school age, female (%)",Swaziland,2016,24.78219
"Rate of out-of-school children of primary school age, female (%)",Guinea,2000,62.40033
"Rate of out-of-school children of primary school age, female (%)",Guinea,2001,58.64502
"Rate of out-of-school children of primary school age, female (%)",Guinea,2002,51.7479
"Rate of out-of-school children of primary school age, female (%)",Guinea,2003,47.90799
"Rate of out-of-school children of primary school age, female (%)",Guinea,2004,44.52801
"Rate of out-of-school children of primary school age, female (%)",Guinea,2005,41.91388
"Rate of out-of-school children of primary school age, female (%)",Guinea,2006,39.00332
"Rate of out-of-school children of primary school age, female (%)",Guinea,2007,36.76619
"Rate of out-of-school children of primary school age, female (%)",Guinea,2008,37.65446
"Rate of out-of-school children of primary school age, female (%)",Guinea,2009,36.23495
"Rate of out-of-school children of primary school age, female (%)",Guinea,2010,34.91838
"Rate of out-of-school children of primary school age, female (%)",Guinea,2011,29.85668
"Rate of out-of-school children of primary school age, female (%)",Guinea,2012,30.35826
"Rate of out-of-school children of primary school age, female (%)",Guinea,2013,29.40373
"Rate of out-of-school children of primary school age, female (%)",Guinea,2014,25.78151
"Rate of out-of-school children of primary school age, female (%)",Guinea,2016,28.70171
"Rate of out-of-school children of primary school age, female (%)",Uganda,2009,7.86894
"Rate of out-of-school children of primary school age, female (%)",Uganda,2010,10.98929
"Rate of out-of-school children of primary school age, female (%)",Uganda,2011,8.28841
"Rate of out-of-school children of primary school age, female (%)",Uganda,2013,7.57807
"Rate of out-of-school children of primary school age, female (%)",Zambia,2000,34.08146
"Rate of out-of-school children of primary school age, female (%)",Zambia,2001,34.08393
"Rate of out-of-school children of primary school age, female (%)",Zambia,2002,31.47313
"Rate of out-of-school children of primary school age, female (%)",Zambia,2004,18.58955
"Rate of out-of-school children of primary school age, female (%)",Zambia,2005,9.90138
"Rate of out-of-school children of primary school age, female (%)",Zambia,2006,11.31295
"Rate of out-of-school children of primary school age, female (%)",Zambia,2007,10.01328
"Rate of out-of-school children of primary school age, female (%)",Zambia,2009,11.67499
"Rate of out-of-school children of primary school age, female (%)",Zambia,2010,14.27472
"Rate of out-of-school children of primary school age, female (%)",Zambia,2011,10.48393
"Rate of out-of-school children of primary school age, female (%)",Zambia,2012,8.41959
"Rate of out-of-school children of primary school age, female (%)",Zambia,2013,11.12938
"Rate of out-of-school children of primary school age, female (%)",Seychelles,2000,5.09772
"Rate of out-of-school children of primary school age, female (%)",Seychelles,2001,13.11331
"Rate of out-of-school children of primary school age, female (%)",Seychelles,2002,6.7622
"Rate of out-of-school children of primary school age, female (%)",Seychelles,2003,5.71988
"Rate of out-of-school children of primary school age, female (%)",Seychelles,2004,4.93198
"Rate of out-of-school children of primary school age, female (%)",Seychelles,2005,5.26309
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2000,41.87355
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2001,33.05882
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2002,35.93965
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2003,36.0546
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2008,53.61409
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2009,54.55213
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2010,55.09455
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2011,53.87971
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2012,52.57685
"Rate of out-of-school children of primary school age, female (%)",Equatorial Guinea,2015,55.32296
"Rate of out-of-school children of primary school age, female (%)",Comoros,2000,37.86399
"Rate of out-of-school children of primary school age, female (%)",Comoros,2007,23.74947
"Rate of out-of-school children of primary school age, female (%)",Comoros,2013,15.62896
"Rate of out-of-school children of primary school age, female (%)",Comoros,2014,18.71673
"Rate of out-of-school children of primary school age, female (%)",Central African Republic,2005,59.78441
"Rate of out-of-school children of primary school age, female (%)",Central African Republic,2006,59.62623
"Rate of out-of-school children of primary school age, female (%)",Central African Republic,2007,53.10843
"Rate of out-of-school children of primary school age, female (%)",Central African Republic,2008,44.66019
"Rate of out-of-school children of primary school age, female (%)",Central African Republic,2009,44.47092
"Rate of out-of-school children of primary school age, female (%)",Central African Republic,2010,42.10724
"Rate of out-of-school children of primary school age, female (%)",Central African Republic,2011,43.20947
"Rate of out-of-school children of primary school age, female (%)",Central African Republic,2012,39.82737
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2000,6.63517
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2001,6.76998
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2002,5.02217
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2003,5.46535
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2004,4.89955
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2005,3.4204
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2006,3.29107
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2007,2.854
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2008,2.90926
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2009,2.67372
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2010,2.43024
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2011,2.06208
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2012,5.20415
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2013,2.72415
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2014,2.38616
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2015,2.68842
"Rate of out-of-school children of primary school age, female (%)",Mauritius,2016,3.2473
"Rate of out-of-school children of primary school age, female (%)",Senegal,2000,45.66407
"Rate of out-of-school children of primary school age, female (%)",Senegal,2003,37.97735
"Rate of out-of-school children of primary school age, female (%)",Senegal,2004,38.28638
"Rate of out-of-school children of primary school age, female (%)",Senegal,2005,36.7799
"Rate of out-of-school children of primary school age, female (%)",Senegal,2006,33.72811
"Rate of out-of-school children of primary school age, female (%)",Senegal,2007,30.60029
"Rate of out-of-school children of primary school age, female (%)",Senegal,2008,29.03081
"Rate of out-of-school children of primary school age, female (%)",Senegal,2009,28.13526
"Rate of out-of-school children of primary school age, female (%)",Senegal,2010,26.76897
"Rate of out-of-school children of primary school age, female (%)",Senegal,2011,25.90847
"Rate of out-of-school children of primary school age, female (%)",Senegal,2012,22.31405
"Rate of out-of-school children of primary school age, female (%)",Senegal,2013,23.42374
"Rate of out-of-school children of primary school age, female (%)",Senegal,2014,22.55689
"Rate of out-of-school children of primary school age, female (%)",Senegal,2015,22.33529
"Rate of out-of-school children of primary school age, female (%)",Senegal,2016,24.00846
"Rate of out-of-school children of primary school age, female (%)",Cameroon,2011,14.82372
"Rate of out-of-school children of primary school age, female (%)",Cameroon,2012,11.34124
"Rate of out-of-school children of primary school age, female (%)",Cameroon,2014,10.01245
"Rate of out-of-school children of primary school age, female (%)",Cameroon,2016,8.98197
"Rate of out-of-school children of primary school age, female (%)",Egypt,2000,16.27947
"Rate of out-of-school children of primary school age, female (%)",Egypt,2001,14.42244
"Rate of out-of-school children of primary school age, female (%)",Egypt,2002,12.57126
"Rate of out-of-school children of primary school age, female (%)",Egypt,2003,10.57586
"Rate of out-of-school children of primary school age, female (%)",Egypt,2004,7.86517
"Rate of out-of-school children of primary school age, female (%)",Egypt,2012,2.90501
"Rate of out-of-school children of primary school age, female (%)",Egypt,2014,2.87472
"Rate of out-of-school children of primary school age, female (%)",Egypt,2016,0.81975
"Rate of out-of-school children of primary school age, female (%)",Morocco,2000,28.15032
"Rate of out-of-school children of primary school age, female (%)",Morocco,2001,23.14963
"Rate of out-of-school children of primary school age, female (%)",Morocco,2002,18.31141
"Rate of out-of-school children of primary school age, female (%)",Morocco,2003,16.51051
"Rate of out-of-school children of primary school age, female (%)",Morocco,2004,16.35271
"Rate of out-of-school children of primary school age, female (%)",Morocco,2005,15.19928
"Rate of out-of-school children of primary school age, female (%)",Morocco,2006,13.72854
"Rate of out-of-school children of primary school age, female (%)",Morocco,2007,12.08216
"Rate of out-of-school children of primary school age, female (%)",Morocco,2008,11.18388
"Rate of out-of-school children of primary school age, female (%)",Morocco,2009,11.03475
"Rate of out-of-school children of primary school age, female (%)",Morocco,2010,7.96362
"Rate of out-of-school children of primary school age, female (%)",Morocco,2011,6.80132
"Rate of out-of-school children of primary school age, female (%)",Morocco,2012,7.40816
"Rate of out-of-school children of primary school age, female (%)",Morocco,2013,5.98418
"Rate of out-of-school children of primary school age, female (%)",Morocco,2014,6.65514
"Rate of out-of-school children of primary school age, female (%)",Morocco,2016,5.5913
"Rate of out-of-school children of primary school age, female (%)",South Africa,2000,7.03799
"Rate of out-of-school children of primary school age, female (%)",South Africa,2001,6.54859
"Rate of out-of-school children of primary school age, female (%)",South Africa,2002,6.34355
"Rate of out-of-school children of primary school age, female (%)",South Africa,2003,6.38645
"Rate of out-of-school children of primary school age, female (%)",South Africa,2004,6.80581
"Rate of out-of-school children of primary school age, female (%)",South Africa,2005,8.11557
"Rate of out-of-school children of primary school age, female (%)",South Africa,2015,8.19847
"Rate of out-of-school children of primary school age, female (%)",Guinea-Bissau,2000,60.42887
"Rate of out-of-school children of primary school age, female (%)",Guinea-Bissau,2010,29.82953
"Rate of out-of-school children of primary school age, female (%)",Liberia,2006,64.72795
"Rate of out-of-school children of primary school age, female (%)",Liberia,2008,58.60111
"Rate of out-of-school children of primary school age, female (%)",Liberia,2009,61.35541
"Rate of out-of-school children of primary school age, female (%)",Liberia,2011,60.11637
"Rate of out-of-school children of primary school age, female (%)",Liberia,2014,62.80702
"Rate of out-of-school children of primary school age, female (%)",Liberia,2015,63.64984
"Rate of out-of-school children of primary school age, female (%)",Togo,2001,21.02428
"Rate of out-of-school children of primary school age, female (%)",Togo,2003,18.96528
"Rate of out-of-school children of primary school age, female (%)",Togo,2004,15.78691
"Rate of out-of-school children of primary school age, female (%)",Togo,2005,15.73702
"Rate of out-of-school children of primary school age, female (%)",Togo,2007,15.86502
"Rate of out-of-school children of primary school age, female (%)",Togo,2008,14.17308
"Rate of out-of-school children of primary school age, female (%)",Togo,2014,11.72274
"Rate of out-of-school children of primary school age, female (%)",Togo,2016,11.91184
"Rate of out-of-school children of primary school age, female (%)",Zimbabwe,2000,12.65186
"Rate of out-of-school children of primary school age, female (%)",Zimbabwe,2001,10.30497
"Rate of out-of-school children of primary school age, female (%)",Zimbabwe,2002,13.83768
"Rate of out-of-school children of primary school age, female (%)",Zimbabwe,2003,14.9534
"Rate of out-of-school children of primary school age, female (%)",Zimbabwe,2012,11.01593
"Rate of out-of-school children of primary school age, female (%)",Zimbabwe,2013,13.99542
"Rate of out-of-school children of primary school age, female (%)",Namibia,2000,8.49403
"Rate of out-of-school children of primary school age, female (%)",Namibia,2001,7.86479
"Rate of out-of-school children of primary school age, female (%)",Namibia,2002,6.47747
"Rate of out-of-school children of primary school age, female (%)",Namibia,2003,6.84058
"Rate of out-of-school children of primary school age, female (%)",Namibia,2004,9.37845
"Rate of out-of-school children of primary school age, female (%)",Namibia,2005,9.48606
"Rate of out-of-school children of primary school age, female (%)",Namibia,2006,12.6964
"Rate of out-of-school children of primary school age, female (%)",Namibia,2007,10.03075
"Rate of out-of-school children of primary school age, female (%)",Namibia,2008,11.22121
"Rate of out-of-school children of primary school age, female (%)",Namibia,2009,11.49584
"Rate of out-of-school children of primary school age, female (%)",Namibia,2010,11.81978
"Rate of out-of-school children of primary school age, female (%)",Namibia,2012,10.1995
"Rate of out-of-school children of primary school age, female (%)",Namibia,2013,8.17435
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2001,1.52755
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2002,1.784
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2003,2.70394
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2004,4.31338
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2005,5.33435
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2006,6.43134
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2007,8.352
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2008,10.71469
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2009,12.3257
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2010,13.08514
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2011,14.33566
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2012,13.80365
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2013,13.80281
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2014,13.69739
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2015,13.49628
"Rate of out-of-school children of primary school age, female (%)",Cape Verde,2016,14.42684
"Rate of out-of-school children of primary school age, female (%)",Niger,2000,78.32461
"Rate of out-of-school children of primary school age, female (%)",Niger,2001,75.40263
"Rate of out-of-school children of primary school age, female (%)",Niger,2002,72.55009
"Rate of out-of-school children of primary school age, female (%)",Niger,2003,69.19162
"Rate of out-of-school children of primary school age, female (%)",Niger,2004,66.27618
"Rate of out-of-school children of primary school age, female (%)",Niger,2005,65.73594
"Rate of out-of-school children of primary school age, female (%)",Niger,2006,64.31856
"Rate of out-of-school children of primary school age, female (%)",Niger,2007,62.88065
"Rate of out-of-school children of primary school age, female (%)",Niger,2008,58.96411
"Rate of out-of-school children of primary school age, female (%)",Niger,2009,55.18752
"Rate of out-of-school children of primary school age, female (%)",Niger,2010,51.18408
"Rate of out-of-school children of primary school age, female (%)",Niger,2011,46.46394
"Rate of out-of-school children of primary school age, female (%)",Niger,2012,44.41274
"Rate of out-of-school children of primary school age, female (%)",Niger,2013,44.42712
"Rate of out-of-school children of primary school age, female (%)",Niger,2014,43.92869
"Rate of out-of-school children of primary school age, female (%)",Niger,2015,42.39807
"Rate of out-of-school children of primary school age, female (%)",Niger,2016,41.18803
"Rate of out-of-school children of primary school age, female (%)",Kenya,2000,33.49283
"Rate of out-of-school children of primary school age, female (%)",Kenya,2001,32.47991
"Rate of out-of-school children of primary school age, female (%)",Kenya,2002,38.29577
"Rate of out-of-school children of primary school age, female (%)",Kenya,2003,27.23024
"Rate of out-of-school children of primary school age, female (%)",Kenya,2004,29.02781
"Rate of out-of-school children of primary school age, female (%)",Kenya,2005,28.05354
"Rate of out-of-school children of primary school age, female (%)",Kenya,2006,28.4618
"Rate of out-of-school children of primary school age, female (%)",Kenya,2007,18.9328
"Rate of out-of-school children of primary school age, female (%)",Kenya,2008,22.16708
"Rate of out-of-school children of primary school age, female (%)",Kenya,2009,20.56075
"Rate of out-of-school children of primary school age, female (%)",Kenya,2012,15.05817
"Rate of out-of-school children of primary school age, female (%)",Ghana,2000,35.23953
"Rate of out-of-school children of primary school age, female (%)",Ghana,2001,40.23446
"Rate of out-of-school children of primary school age, female (%)",Ghana,2002,37.54046
"Rate of out-of-school children of primary school age, female (%)",Ghana,2003,38.48195
"Rate of out-of-school children of primary school age, female (%)",Ghana,2005,35.04789
"Rate of out-of-school children of primary school age, female (%)",Ghana,2006,35.51237
"Rate of out-of-school children of primary school age, female (%)",Ghana,2007,30.12332
"Rate of out-of-school children of primary school age, female (%)",Ghana,2008,24.87258
"Rate of out-of-school children of primary school age, female (%)",Ghana,2009,26.23219
"Rate of out-of-school children of primary school age, female (%)",Ghana,2011,17.89094
"Rate of out-of-school children of primary school age, female (%)",Ghana,2013,14.00703
"Rate of out-of-school children of primary school age, female (%)",Ghana,2014,11.41769
"Rate of out-of-school children of primary school age, female (%)",Ghana,2015,9.63655
"Rate of out-of-school children of primary school age, female (%)",Ghana,2016,12.44569
"Rate of out-of-school children of primary school age, female (%)",Malawi,2004,0.98387
"Rate of out-of-school children of primary school age, female (%)",Malawi,2005,1.56823
"Rate of out-of-school children of primary school age, female (%)",Malawi,2006,2.55607
"Rate of out-of-school children of primary school age, female (%)",Malawi,2007,6.61294
"Rate of out-of-school children of primary school age, female (%)",Malawi,2008,0.75272
"Rate of out-of-school children of primary school age, female (%)",Malawi,2009,1.31062
"Rate of out-of-school children of primary school age, female (%)",Chad,2000,59.2577
"Rate of out-of-school children of primary school age, female (%)",Chad,2001,57.49134
"Rate of out-of-school children of primary school age, female (%)",Chad,2002,54.48945
"Rate of out-of-school children of primary school age, female (%)",Chad,2003,52.63462
"Rate of out-of-school children of primary school age, female (%)",Chad,2011,45.27892
"Rate of out-of-school children of primary school age, female (%)",Gambia,2000,31.09909
"Rate of out-of-school children of primary school age, female (%)",Gambia,2001,28.90927
"Rate of out-of-school children of primary school age, female (%)",Gambia,2002,30.95649
"Rate of out-of-school children of primary school age, female (%)",Gambia,2003,25.16546
"Rate of out-of-school children of primary school age, female (%)",Gambia,2004,23.70047
"Rate of out-of-school children of primary school age, female (%)",Gambia,2005,25.87398
"Rate of out-of-school children of primary school age, female (%)",Gambia,2006,21.48523
"Rate of out-of-school children of primary school age, female (%)",Gambia,2007,21.45619
"Rate of out-of-school children of primary school age, female (%)",Gambia,2008,25.38831
"Rate of out-of-school children of primary school age, female (%)",Gambia,2010,28.67227
"Rate of out-of-school children of primary school age, female (%)",Gambia,2011,28.2746
"Rate of out-of-school children of primary school age, female (%)",Gambia,2012,25.30883
"Rate of out-of-school children of primary school age, female (%)",Gambia,2013,29.37112
"Rate of out-of-school children of primary school age, female (%)",Gambia,2014,25.97745
"Rate of out-of-school children of primary school age, female (%)",Gambia,2015,22.678
"Rate of out-of-school children of primary school age, female (%)",Gambia,2016,20.16727
"Rate of out-of-school children of primary school age, female (%)",Botswana,2000,14.02181
"Rate of out-of-school children of primary school age, female (%)",Botswana,2001,12.49449
"Rate of out-of-school children of primary school age, female (%)",Botswana,2002,12.56708
"Rate of out-of-school children of primary school age, female (%)",Botswana,2003,12.50416
"Rate of out-of-school children of primary school age, female (%)",Botswana,2004,13.28229
"Rate of out-of-school children of primary school age, female (%)",Botswana,2005,12.7408
"Rate of out-of-school children of primary school age, female (%)",Botswana,2006,12.19389
"Rate of out-of-school children of primary school age, female (%)",Botswana,2007,12.95013
"Rate of out-of-school children of primary school age, female (%)",Botswana,2008,13.416
"Rate of out-of-school children of primary school age, female (%)",Botswana,2009,12.98208
"Rate of out-of-school children of primary school age, female (%)",Botswana,2012,6.52576
"Rate of out-of-school children of primary school age, female (%)",Botswana,2013,6.00333
"Rate of out-of-school children of primary school age, female (%)",Botswana,2014,10.0938
"Rate of out-of-school children of primary school age, female (%)",Mali,2002,55.24346
"Rate of out-of-school children of primary school age, female (%)",Mali,2003,55.2954
"Rate of out-of-school children of primary school age, female (%)",Mali,2004,53.02768
"Rate of out-of-school children of primary school age, female (%)",Mali,2005,50.03733
"Rate of out-of-school children of primary school age, female (%)",Mali,2006,48.26357
"Rate of out-of-school children of primary school age, female (%)",Mali,2007,45.92671
"Rate of out-of-school children of primary school age, female (%)",Mali,2009,38.87997
"Rate of out-of-school children of primary school age, female (%)",Mali,2010,37.39459
"Rate of out-of-school children of primary school age, female (%)",Mali,2011,35.98527
"Rate of out-of-school children of primary school age, female (%)",Mali,2012,37.79548
"Rate of out-of-school children of primary school age, female (%)",Mali,2014,40.5485
"Rate of out-of-school children of primary school age, female (%)",Mali,2015,43.25554
"Rate of out-of-school children of primary school age, female (%)",Mali,2016,42.13036
"Rate of out-of-school children of primary school age, female (%)",Sierra Leone,2012,7.34408
"Rate of out-of-school children of primary school age, female (%)",Sierra Leone,2013,1.443
"Rate of out-of-school children of primary school age, female (%)",Sierra Leone,2015,5.14727
"Rate of out-of-school children of primary school age, female (%)",Sierra Leone,2016,0.54045
"Rate of out-of-school children of primary school age, female (%)",Rwanda,2002,15.93755
"Rate of out-of-school children of primary school age, female (%)",Rwanda,2003,10.16309
"Rate of out-of-school children of primary school age, female (%)",Rwanda,2016,3.63325
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2000,50.15491
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2001,45.65399
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2002,48.39897
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2004,35.71175
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2005,30.56685
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2006,26.51351
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2007,21.44031
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2008,17.83637
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2009,16.08948
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2010,14.5962
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2011,16.25426
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2012,15.8761
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2013,14.76285
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2014,13.97859
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2015,12.73589
"Rate of out-of-school children of primary school age, female (%)",Mozambique,2016,13.03609
"Rate of out-of-school children of primary school age, female (%)",Tunisia,2000,5.84966
"Rate of out-of-school children of primary school age, female (%)",Tunisia,2001,3.54504
"Rate of out-of-school children of primary school age, female (%)",Tunisia,2005,1.33802
"Rate of out-of-school children of primary school age, female (%)",Tunisia,2006,1.33577
"Rate of out-of-school children of primary school age, female (%)",Tunisia,2007,2.58293
"Rate of out-of-school children of primary school age, female (%)",Tunisia,2008,2.39793
