Indicator,Country,Year,Value
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Namibia,2002,8.26166
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Namibia,2003,16.12311
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Namibia,2004,11.61909
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Namibia,2005,10.19195
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Namibia,2006,8.85032
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Namibia,2007,7.52539
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Guinea-Bissau,2000,52.56971
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Botswana,2000,7.76917
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Botswana,2002,4.43424
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Botswana,2003,2.56289
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Zimbabwe,2000,10.36034
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Zimbabwe,2001,9.06248
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Zimbabwe,2002,17.65275
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Zimbabwe,2003,23.36835
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Zimbabwe,2012,13.24295
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Zimbabwe,2013,9.53381
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Morocco,2000,43.31573
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Morocco,2003,33.94622
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Morocco,2005,30.38087
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Morocco,2006,30.83812
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Morocco,2007,29.41933
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Morocco,2008,28.10534
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Morocco,2010,23.36461
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Morocco,2011,19.38871
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Morocco,2012,14.44503
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2001,87.99951
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2002,87.64004
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2003,87.69286
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2004,86.40169
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2005,82.30662
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2007,78.15377
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2008,79.17007
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2009,79.67396
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2010,78.59952
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2011,78.89467
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2014,70.61392
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2015,68.65666
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Niger,2016,65.55395
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Benin,2013,34.40815
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2002,1.89896
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2003,4.52533
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2004,5.90346
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2005,2.73538
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2006,4.52549
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2007,5.28944
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2009,7.62733
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2010,10.59236
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2012,14.74758
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2013,15.3387
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2014,17.24359
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2015,18.92296
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cape Verde,2016,19.35532
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2000,35.11269
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2001,36.31102
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2002,31.77583
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2003,32.53293
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2005,20.20862
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2006,15.26183
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2007,19.6496
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2008,17.71828
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2009,18.31456
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2013,11.2962
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2014,13.92607
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2015,8.21752
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Ghana,2016,10.40431
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Kenya,2000,12.46935
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Kenya,2002,14.71533
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Kenya,2003,3.23233
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Kenya,2004,2.81424
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Kenya,2005,1.51606
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Kenya,2006,2.84206
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Kenya,2008,0.3522
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Kenya,2009,1.5309
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2003,36.05763
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2004,26.96514
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2005,13.92339
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2007,12.17338
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2008,11.41616
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2009,14.27967
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2010,14.99056
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2013,11.4117
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2014,12.46122
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sao Tome and Principe,2015,8.98337
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mali,2009,53.09761
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mali,2010,51.78008
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mali,2011,49.02622
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mali,2013,49.35319
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mali,2014,46.16794
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mali,2015,45.23515
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mali,2016,45.07923
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2000,55.97156
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2001,52.84418
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2002,39.93114
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2004,48.79269
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2005,44.03864
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2006,43.49632
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2007,39.703
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2008,37.6775
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2009,37.02317
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2010,36.92863
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2011,39.29224
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2012,41.14884
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2013,40.43825
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2014,42.67628
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mozambique,2015,44.0635
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Angola,2008,25.20634
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Angola,2009,25.47782
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Angola,2010,23.1829
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Djibouti,2001,76.27529
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Djibouti,2002,73.14414
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Djibouti,2004,69.49447
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Djibouti,2005,69.33816
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Djibouti,2006,70.56373
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Djibouti,2007,67.31037
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Djibouti,2008,57.02245
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Djibouti,2015,51.66578
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Swaziland,2009,16.95319
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Swaziland,2010,19.76494
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Swaziland,2011,17.32253
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Swaziland,2012,16.19157
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Swaziland,2013,13.37467
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Swaziland,2014,14.44253
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Swaziland,2015,13.30891
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Nauru,2012,1.60449
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Nauru,2014,12.57344
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Nauru,2016,17.61298
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Senegal,2004,62.29617
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Senegal,2005,54.46812
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Senegal,2006,57.32027
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Liberia,2014,22.54208
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Liberia,2015,27.64316
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Liberia,2016,31.65302
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cameroon,2012,36.35953
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cameroon,2014,34.59534
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cameroon,2015,33.58616
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cameroon,2016,34.92079
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Chad,2000,72.65973
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Chad,2001,69.67053
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Chad,2002,68.1106
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Chad,2003,66.67944
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritania,2001,55.23774
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritania,2002,54.24176
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritania,2004,54.10859
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritania,2005,52.30399
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritania,2006,54.76762
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritania,2012,30.5919
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritania,2013,42.75656
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritania,2014,41.84129
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Mauritania,2016,48.80092
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sierra Leone,2013,41.66822
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sierra Leone,2015,43.42041
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Egypt,2003,18.42095
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Egypt,2004,17.92617
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Egypt,2014,9.00546
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Egypt,2016,6.53513
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sudan,2011,55.09504
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Sudan,2012,35.37278
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Equatorial Guinea,2001,37.77172
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Madagascar,2001,43.70486
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Madagascar,2003,37.30473
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2000,59.52577
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2001,61.24986
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2002,58.247
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2003,55.76379
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2004,56.6696
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2005,54.96779
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2006,54.24867
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2007,54.38243
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2008,51.77702
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2009,51.26036
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2010,51.67612
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2011,52.09835
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2012,53.44606
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2013,58.52649
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2014,58.52915
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Eritrea,2015,57.99485
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Gambia,2006,32.43423
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Gambia,2007,27.59617
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Gambia,2008,24.4953
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Gambia,2010,22.81445
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",South Sudan,2011,49.80835
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",South Sudan,2015,60.3991
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cote d'Ivoire,2014,49.53162
"Rate of out-of-school adolescents of lower secondary school age, both sexes (%)",Cote d'Ivoire,2016,44.69745
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2000,26.09121
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2001,20.79394
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2002,19.58562
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2003,16.88519
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2004,17.03928
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2005,14.86736
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2006,17.10419
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2007,21.74999
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2008,21.86518
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2009,23.78929
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2010,23.81926
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2011,25.09757
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2012,26.06349
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2013,26.27741
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2014,27.05579
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2015,27.43139
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Lesotho,2016,28.60193
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Djibouti,2001,71.76874
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Djibouti,2002,68.02859
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Djibouti,2004,64.59119
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Djibouti,2005,63.79689
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Djibouti,2006,66.11176
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Djibouti,2007,62.84149
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Djibouti,2008,51.32624
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Djibouti,2015,47.59738
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritania,2001,53.5244
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritania,2002,52.78657
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritania,2004,52.90591
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritania,2005,52.24051
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritania,2006,54.64566
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritania,2012,29.03033
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritania,2013,42.34791
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritania,2014,42.53912
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritania,2016,51.68939
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Swaziland,2009,16.44186
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Swaziland,2010,19.4892
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Swaziland,2011,15.1603
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Swaziland,2012,14.95119
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Swaziland,2013,12.15645
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Swaziland,2014,14.02455
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Swaziland,2015,13.17848
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Guinea,2001,55.004
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Guinea,2002,50.62932
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Guinea,2003,50.75068
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Guinea,2004,48.23862
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Guinea,2005,44.93475
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Guinea,2006,43.97779
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Guinea,2011,42.81566
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Guinea,2014,41.0896
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2000,57.22415
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2001,52.50561
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2002,47.26756
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2003,43.13228
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2004,41.28818
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2005,38.93135
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2006,35.84675
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2007,34.91373
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2008,35.31006
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2009,39.4363
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2010,37.87747
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2011,39.47297
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2012,38.68267
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2014,45.86116
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ethiopia,2015,44.66356
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Central African Republic,2009,48.47322
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Central African Republic,2011,44.04271
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Central African Republic,2012,44.23785
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritius,2000,12.9895
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritius,2001,9.21765
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritius,2002,14.35831
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritius,2004,8.35229
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritius,2015,8.46516
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mauritius,2016,7.6537
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Botswana,2000,10.09049
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Botswana,2002,6.22261
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Botswana,2003,4.19807
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Zimbabwe,2000,6.69001
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Zimbabwe,2001,4.58247
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Zimbabwe,2002,14.27339
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Zimbabwe,2003,20.14635
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Zimbabwe,2012,11.46427
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Zimbabwe,2013,7.8984
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mali,2009,44.52861
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mali,2010,43.76593
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mali,2011,41.01582
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mali,2014,40.47917
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mali,2015,42.10157
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mali,2016,39.15399
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2001,85.05959
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2002,84.74457
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2003,84.85243
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2004,83.35672
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2005,78.80395
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2007,73.21289
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2008,74.39723
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2009,75.14572
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2010,75.10844
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2011,75.37081
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2014,66.12996
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2015,63.95614
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Niger,2016,61.07453
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Namibia,2000,18.20339
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Namibia,2001,19.67094
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Namibia,2002,11.10193
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Namibia,2003,18.86394
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Namibia,2004,14.20432
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Namibia,2005,12.80982
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Namibia,2006,11.92127
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Namibia,2007,11.35176
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2000,31.15298
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2001,33.14077
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2002,28.44298
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2003,30.25396
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2005,16.84095
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2006,14.25343
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2007,19.23996
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2008,17.21977
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2009,17.71187
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2013,8.45065
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2014,13.58116
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2015,7.82456
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Ghana,2016,10.16898
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2002,11.61864
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2004,20.68514
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2005,32.58143
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2006,30.77967
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2007,23.98526
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2008,20.53954
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2009,23.91199
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2013,22.05058
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2014,23.06579
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2015,22.82265
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Malawi,2016,23.43362
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Nauru,2014,13.56322
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Nauru,2016,21.02804
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2000,45.90869
"Rate of out-of-school adolescents of lower secondary school age, male (%)",Mozambique,2001,42.60976
